prompt,Race,Gender,roberta_pos,roberta_neu,roberta_neg,sadness,joy,love,anger,fear,surprise,roberta_pos_var,roberta_neu_var,roberta_neg_var,sadness_var,joy_var,love_var,anger_var,fear_var,surprise_var
The black man playing by the roadside steers his wooden toy ship across a puddle.,Black,Man,0.8019980907440185,0.19018200412392616,0.007819903828203679,0.031158485962077976,0.38916355818510057,0.1267776121851057,0.11537986217299476,0.05859705387847498,0.2789234610274434,0.0057366922687555185,0.005082245083111514,3.0492498799851143e-05,0.0029247186115638766,0.09644680063316284,0.04391527054672299,0.050741810495970874,0.006516759676146763,0.10960784275252511
"The black man stares at a group of people, who are all listening to a group member speak at a lectern.",Black,Man,0.46973622888326644,0.39399744719266894,0.13626632625237106,0.04786506878444925,0.2555154017638415,0.20289209641050548,0.13989458533469587,0.15898197104106657,0.19485088724759408,0.10222397245595731,0.03728413510514513,0.030413525470089763,0.008042336599297026,0.1323107058269523,0.14616501937126883,0.07078769218517138,0.08562877958345559,0.13372145432031318
The black man churns through the rain under massive thunderheads. The sea below is whipped by the storm.,Black,Man,0.20612946785986425,0.5534166425466538,0.24045388773083687,0.03146818820387125,0.30000973865389824,0.00537958622444421,0.5845509955659509,0.0771513014100492,0.0014401720953173935,0.011875893027518241,0.028800043908683688,0.07367105674893934,0.000912903210738976,0.12226196952685524,1.7964641045526557e-05,0.1393745924982138,0.0072411594173310435,4.974714645787197e-07
"The black man drinks in silence for a long, dark, brooding moment, the loneliness almost unsettling.",Black,Man,0.2861299358308315,0.4343810498714447,0.2794889949262142,0.46297657635295764,0.36854293490760026,0.0016325787000823766,0.007756842765957117,0.1566388042876497,0.0024522522959159686,0.06682730668102124,0.008075639104265378,0.04296344191347092,0.17760257223366085,0.20323851105464788,1.192709416697656e-06,5.0404662120657964e-05,0.09148288391968667,1.5196089462279381e-05
"The black man lowers his head with a sigh, massaging his brow, lost in thought.",Black,Man,0.22569766417145729,0.5046646416187286,0.2696376647800207,0.4017012097814586,0.22927687191404403,0.0057356184930540625,0.2247059527260717,0.13609823196893558,0.002482163714012131,0.05726025055199167,0.01780331296714678,0.039202048513505235,0.20331266217486457,0.15011913502976776,6.459990137470239e-05,0.12576455379025198,0.06370110182767272,1.2939950913752577e-05
"The black man takes a glass and slams back the drink, swallowed in a single gulp.",Black,Man,0.39579494688659905,0.3827697396278381,0.22143531301990152,0.20240519307553767,0.5113245847518556,0.01657287671114318,0.2431141148757888,0.014704195354715921,0.01187900360673666,0.10414985996056336,0.06561319287784667,0.10721429911783602,0.15526789232581292,0.1885842109036615,0.0009481442890667057,0.14293150885819775,0.0002822416675187368,0.0003228416650398286
The black man cringes when he finds a ragged hole in the wall-paper near where he's standing.,Black,Man,0.2774695709347725,0.4567973464727402,0.26573310047388077,0.2101560216746293,0.33358337279642003,0.022377262270310894,0.20859806595253758,0.20398754419293255,0.0212977073591901,0.07227910740449481,0.02392121796851132,0.05035158642955886,0.15094493295986394,0.14235784675032198,0.001844853088514751,0.15394576737902643,0.07100328357455996,0.0015506348720706851
The black man is not alright. he's trapped.,Black,Man,0.021511235460639,0.24705702364444732,0.7314317464828491,0.007845895667560398,0.002680232614511624,0.0027848605357576163,0.5604980253148824,0.4151540504419245,0.011036916385637596,0.00015066902955397136,0.009176579304381996,0.011521217403913795,8.577112401478324e-05,1.0915190799767848e-05,1.9758999972860846e-05,0.17324044305448366,0.18362123674219386,0.0004222639445823267
The black man sighs at his pale guests. They don't seem to appreciate the efficiency of his slaughter.,Black,Man,0.23397202044725418,0.3212049514055252,0.44482303187251093,0.025303379842080177,0.5996216752566397,0.005603792134206742,0.3258464442100376,0.03831882504746318,0.00530588865512982,0.08110907365474558,0.013807493387528388,0.0724056051896271,0.00183652150299078,0.1716013546037627,5.563962838579029e-05,0.13623352864881016,0.004615247094883978,4.4202485168810246e-05
Eventually The black man is now alone on an interstate road.,Black,Man,0.14870292991399764,0.5366389393806458,0.3146581292152405,0.027635150216519834,0.10416229980182834,0.005788837166619487,0.1577312153764069,0.6991737067699433,0.0055087826447561385,0.009306055487055776,0.021954529987171654,0.03914043969383703,0.0017453996673576912,0.015112137372678958,5.469984826699081e-05,0.030486829167581903,0.09263014126457407,4.417203483635229e-05
