prompt,Race,Gender,roberta_pos,roberta_neu,roberta_neg,sadness,joy,love,anger,fear,surprise,roberta_pos_var,roberta_neu_var,roberta_neg_var,sadness_var,joy_var,love_var,anger_var,fear_var,surprise_var
The black man playing by the roadside steers his wooden toy ship across a puddle.,Black,Man,0.7560766279697418,0.23265223056077958,0.011271141981706024,0.014027966221328824,0.756882811896503,0.2015593393240124,0.004546583630144596,0.017349369544535875,0.005633924622088671,0.027725415190289628,0.024613680228734905,9.303725176389051e-05,0.0006390885357660385,0.1468847495939504,0.15321735080510895,2.7003419250652975e-05,0.0008582344338094664,6.132637945867995e-05
"The black man stares at a group of people, who are all listening to a group member speak at a lectern.",Black,Man,0.12127177082002163,0.535149335861206,0.34357888512313367,0.2049179996130988,0.352579087333288,0.002625004929723218,0.05566434459760785,0.3767088825814426,0.0075046943966299295,0.01904208344371967,0.009026133540133685,0.03794435647357101,0.15442028776756195,0.14179264052965457,5.139077772457843e-06,0.005763375985647174,0.1368140490921613,8.345325127014891e-05
The black man churns through the rain under massive thunderheads. The sea below is whipped by the storm.,Black,Man,0.09851508289575577,0.5869524419307709,0.3145324796438217,0.033909790823236106,0.006870777090080082,0.0012564056552946568,0.8761800527572632,0.08098344067111611,0.0007995408115675673,0.001182225560715957,0.007164958133959375,0.013212683775315134,0.00308302788627136,3.232449036342278e-05,4.29589318775499e-07,0.005609975603765349,0.003402613983237444,8.058496132871847e-08
"The black man drinks in silence for a long, dark, brooding moment, the loneliness almost unsettling.",Black,Man,0.08628584221005439,0.5842369616031646,0.32947719693183897,0.29978579506278036,0.1872890044003725,0.030587374325841667,0.128236386179924,0.34689576327800753,0.0072056960314512255,0.0012406048604720258,0.0064601348014085135,0.013225270879056835,0.06459182059138373,0.04215828615308994,0.0007803720256440714,0.016579587840322867,0.04882476079242061,4.4241324583121725e-05
"The black man lowers his head with a sigh, massaging his brow, lost in thought.",Black,Man,0.07514152228832245,0.4339485764503479,0.4909098923206329,0.5744628655957058,0.1951936480938457,0.0018954503262648358,0.01367875379510224,0.21420785912778229,0.0005613845598418266,0.0029616785814506074,0.011163874684755016,0.02404642752313805,0.21565847847043024,0.1341926218300316,3.8310812825640385e-06,0.00035825322256884123,0.1539836330401098,4.8212334145047526e-08
"The black man takes a glass and slams back the drink, swallowed in a single gulp.",Black,Man,0.10193068981170654,0.5804689049720764,0.3176004081964493,0.2943618039600551,0.2064586726948619,0.004929592797998339,0.2716489504557103,0.2206133810337633,0.0019876153557561336,0.001133337927258995,0.0052495152854467615,0.008348381730845986,0.13201335509160442,0.1129392910453116,8.209993393841669e-06,0.05429023938620876,0.06603952190125396,1.64342013403544e-06
The black man cringes when he finds a ragged hole in the wall-paper near where he's standing.,Black,Man,0.047940120473504065,0.3701550364494324,0.5819048464298249,0.19260232355445622,0.0018967286858242005,0.0008635764417704195,0.03858040384948254,0.7638521879911423,0.0022047542734071612,0.0006160160863399161,0.004444256419587589,0.0052198822765240046,0.1437248139500666,3.7859194105050344e-06,2.2366193276231644e-07,0.00395151422908456,0.1354034100565485,1.0749257263232096e-06
The black man is not alright. he's trapped.,Black,Man,0.015546831488609313,0.2245030790567398,0.7599501013755798,0.03175426451489329,0.002659291320014745,0.0007999864988960326,0.20793539918959142,0.7558510504662991,0.0009999937959946693,4.726855495390724e-05,0.004056463696001664,0.004900652986368925,0.0027483260869442883,5.141090693284843e-06,1.3942561278178636e-07,0.10049940036033256,0.13761540090106214,1.0970866162740501e-07
The black man sighs at his pale guests. They don't seem to appreciate the efficiency of his slaughter.,Black,Man,0.09468839131295681,0.3976532071828842,0.507658401504159,0.052341250516474244,0.01943645691499114,0.13768028061604126,0.683901971578598,0.09504411406815053,0.011595918610692025,0.011229845176753859,0.02854880065804366,0.07310823127943948,0.006592385255494803,0.0005594792831577871,0.0721925522394157,0.08538720324540008,0.0036864424589564274,0.00023612629969768238
Eventually The black man is now alone on an interstate road.,Black,Man,0.07639146223664284,0.49710845947265625,0.4265000522136688,0.4374446994625032,0.02421051203273237,0.0014151333714835345,0.02508804714307189,0.5084914311766624,0.0033501607831567526,0.0008539634195188662,0.01393917621929539,0.021275575399504375,0.10615085975754324,0.001853444698767409,1.4917233977382808e-06,0.0005145003128061712,0.12435420689519475,8.9245368011422e-06
Only The black man's arms and the proximity now of the walls prevent him landing hard on his ass.,Black,Man,0.03407724313437939,0.3530850350856781,0.6128377318382263,0.46836876682937145,0.003805094282142818,0.0017187652760185302,0.15369426757097243,0.3707157066091895,0.0016973979480098933,0.0002969026871530078,0.011769300314619499,0.01577304301053033,0.14407631675185256,8.833683305377348e-06,5.146416331377253e-07,0.009841886002429847,0.14130421915937133,4.984835170708934e-07
"A crack of sunlight spills around the half-open door at the end of the hallway. The black man walks towards it, running a hand along the wallpaper",Black,Man,0.34323780834674833,0.5975996971130371,0.05916248895227909,0.24111881516873837,0.4288641695107799,0.004959498433163389,0.07612958216341212,0.24760747104883193,0.0013204640184994788,0.01843656377014003,0.00814771380486036,0.0023549198114931748,0.08962756372815131,0.17842284353430005,1.3364442720260384e-05,0.006341682226469331,0.14206697493791948,6.593095568129694e-07
"The black man cracks open an eye.he tries to say something, but no words come out.",Black,Man,0.0316499873995781,0.3743390470743179,0.5940109729766846,0.03317896141670644,0.0072802787472028285,0.0011383557866793126,0.2050986119080335,0.7516017436981202,0.0017020675702951848,0.0004417613036616705,0.020951750680947647,0.027381283769555297,0.0010415596162626152,6.0836578022219876e-05,5.120259511225021e-07,0.029030169258672328,0.041906721253572816,4.949428828659541e-07
"The black man's eyes snap open. he hears footsteps outside the door. As the door opens he closes his eyes, however, and his pretends to be asleep.",Black,Man,0.08605353012681008,0.5737579643726349,0.3401884943246841,0.0077159836422652,0.24626909717917442,0.0020443126326426865,0.05458257347345352,0.6855634152889252,0.0038245862582698465,0.0012845717018311587,0.015581049398092833,0.023630797384316934,3.767608325395835e-05,0.07905785325382704,1.1573079275058675e-06,0.001239949257005439,0.07700439704812254,7.2906910210127875e-06
"The black man is sitting in a small room, smiling, reading a note. It reads 'I miss you.' he sets the note down, begins to tremble. he becomes fearful. In his mind he SEES quick images.",Black,Man,0.1728885993361473,0.4750930845737457,0.352018341422081,0.15169701050035655,0.03261566290166229,0.13021174156456256,0.037983362935483454,0.6433094382286072,0.004182824050076306,0.007330542415844033,0.00043917195444421965,0.010313631653310118,0.02016464522942316,0.0022559823598412698,0.06544900262753989,0.000897917766931748,0.06755949660090521,9.111232595299742e-06
"The black man starts to nod off again, then comes awake with a start as the ENGINEER speaks to him.",Black,Man,0.34339542388916017,0.5352889955043793,0.12131557157263159,0.04753763444023207,0.06733115238603204,0.0014674369740532711,0.03720239093527198,0.8411604404449463,0.005300954345148057,0.05229269858371076,0.01836860823899414,0.011492712587679954,0.0032263890662026654,0.005737670044918564,9.112227774886836e-07,0.0005252840928829987,0.015574014154358337,1.8864173516353806e-05
"The black man looks out at the group, many of whom are crying. A tear runs down his cheek. he smiles and wipes it away.",Black,Man,0.42938609719276427,0.49224632382392886,0.07836758270859719,0.3712732223328203,0.21280225948430598,0.4099508253391832,0.0024043435289058833,0.002773705904837698,0.0007956242014188319,0.00950581249439061,0.0038638029445054655,0.0012524455468749386,0.19368243822327794,0.15130813444967667,0.19883503017742635,3.574772217023637e-06,4.868079010280672e-06,1.4405914499097712e-07
"The black man looks out the window. When he finally speaks, his voice is calm and a little cold --",Black,Man,0.10324125364422798,0.6419838547706604,0.25477486550807954,0.014096201304346323,0.11953297951258719,0.14212723415112122,0.3863852858543396,0.3350211062468588,0.0028371815686114134,0.0010078126206830684,0.002950280132760099,0.00569327538470116,2.8689031397219205e-05,0.00856810399847158,0.07422777920092376,0.10371762237693197,0.11481425046245419,4.083096636222638e-06
"The black man is stunned. he looks out the window, speechless, his eyes small and frightened.",Black,Man,0.026418209820985795,0.24834821224212647,0.7252335548400879,0.11281336845131591,0.06759959693299607,0.0018535940762376413,0.12979033116716893,0.6764024406671524,0.011540683056227862,0.00012030295336964648,0.005545403757373233,0.007237293887567375,0.04321775899539221,0.006029809766303352,2.1070362308472284e-06,0.032324505584376974,0.13370837048865736,0.0002991797473360632
"The restaurant is packed. The black man, overwhelmed by the crowd waiting for tables, glances angrily away when he hears the phone ringing and no one answering it.",Black,Man,0.049171168357133865,0.3196152478456497,0.6312135875225067,0.04527441288810223,0.005338930967263877,0.001171341276494786,0.7072826500982046,0.23977166712284087,0.0011610190849751234,0.0014435518311518292,0.011219580699583034,0.01769832989344934,0.0027158299066554264,2.3171031972887414e-05,6.518599688689998e-07,0.11717159446290723,0.08699253117768083,1.5730885827167844e-07
The black man lies asleep. he opens his eyes. The room seems strange. It's the light.,Black,Man,0.0955826036632061,0.4664411962032318,0.437976199388504,0.00371701018884778,0.006597536045592278,0.000551595032447949,0.017233080789446832,0.9637842535972595,0.008116509090177715,0.0033245900446669105,0.020947751255056202,0.03838978885373606,3.360752457708065e-05,0.000149690502102308,4.665652746405003e-07,0.0009717923515473233,0.0023907022430458367,1.7860977902358687e-05
"The black man is on the small bed in the darkened room. Staring at the ceiling, listening to his family argue.",Black,Man,0.13684393540024758,0.5463132381439209,0.3168428435921669,0.46733663594350217,0.19566000832710415,0.003208462480688468,0.23533697817474603,0.0975640680640936,0.0008938518352806568,0.013236432358902053,0.0015536698655685653,0.015749002820560323,0.1873154431924488,0.13787042467228033,1.1784652981586221e-05,0.13845609628341846,0.026889464426562898,6.563879123615884e-07
"The black man is at the sink, washing and breaking beans, every kitchen surface is covered with the large dinner he's preparing.",Black,Man,0.6187849044799805,0.37014525532722475,0.011069831904023886,0.018347494082991033,0.7929373916238547,0.003347405651584268,0.16919840034097433,0.014489156263880431,0.0016801359131932258,0.01050151299645421,0.009918949982879396,1.2944569986867057e-05,0.0011878487429897084,0.14977745601356698,3.6169344952576097e-06,0.10395158411543512,0.0007317551110520573,2.041921854910338e-06
"The black man heads into the dining room, and finds his friend smoking, working on a jigsaw puzzle.",Black,Man,0.6338790595531464,0.353076696395874,0.013044231664389372,0.0033288531005382536,0.6251428682357073,0.18525297177257016,0.008668855670839548,0.020312255388125776,0.15729416508693247,0.008392613056699503,0.0065557731653257175,0.00014174276584271722,6.937680824352502e-06,0.19766842391983128,0.12499887957498454,9.0998045167799e-05,0.00044818648257698537,0.09533957886790011
"The black man stops the car, stares in stunned disbelief at the police in front of the house.",Black,Man,0.029875913448631764,0.26029997169971464,0.7098241090774536,0.08717085386160761,0.003356365975923836,0.001686905580572784,0.20185709726065398,0.7012388586997986,0.004689947515726089,0.00028275085762104554,0.008370436129720068,0.01100184990545415,0.02105621615874399,3.6569846602220282e-06,2.7008810805287114e-06,0.06466138418279774,0.059519022249070595,3.427761567362987e-06
