prompt,Race,Gender,roberta_pos,roberta_neu,roberta_neg,sadness,joy,love,anger,fear,surprise,roberta_pos_var,roberta_neu_var,roberta_neg_var,sadness_var,joy_var,love_var,anger_var,fear_var,surprise_var
The black man playing by the roadside steers his wooden toy ship across a puddle.,Black,Man,0.8537580847740174,0.14065990298986436,0.005581998033449054,0.001766716904239729,0.9751998543739319,0.016046315815765412,0.0026759209868032485,0.002257636736612767,0.002053551550488919,0.008877009659450721,0.008114513531573345,1.7323003068421768e-05,4.800338460234416e-07,0.000967937539081163,0.0009048772969835874,2.23092282824276e-06,4.0886876739030786e-06,7.204145519911355e-07
"The black man stares at a group of people, who are all listening to a group member speak at a lectern.",Black,Man,0.7548413336277008,0.23559440523386002,0.009564289543777704,0.0009467430703807622,0.9527124047279358,0.03846017557661981,0.003827982780057937,0.0014227785170078278,0.0026299325632862746,0.05137183616547901,0.04614286550454599,0.0001461044555558316,4.245996148508372e-07,0.003988951368501716,0.003268924077790573,1.499580042734166e-05,1.8202764177863037e-06,1.012395496678356e-05
The black man churns through the rain under massive thunderheads. The sea below is whipped by the storm.,Black,Man,0.26688022911548615,0.6185237765312195,0.11459596455097198,0.020720162545330822,0.4225037609809078,0.003908999415580183,0.4983127972111106,0.05318370815366506,0.0013706063677091152,0.008493693321107897,0.0022830659652825604,0.0076167136286356294,0.0014409226753480855,0.21050184304996455,7.039747544559363e-06,0.189441750261276,0.009354396755548925,7.181145721445176e-07
"The black man drinks in silence for a long, dark, brooding moment, the loneliness almost unsettling.",Black,Man,0.2069840684533119,0.5580224454402923,0.23499345108866693,0.6422240532934665,0.04974814597517252,0.0032018763071391732,0.13519565877504647,0.16719477644655853,0.0024354773573577403,0.019963374750038725,0.005880514720175398,0.034460955884744876,0.17027350515885536,0.007466681162771671,1.1340459886988913e-05,0.055148119445137055,0.06871253286876873,6.217218444992713e-06
"The black man lowers his head with a sigh, massaging his brow, lost in thought.",Black,Man,0.44660618901252747,0.5033009946346283,0.05009281262755394,0.1718697499483824,0.5063487350940704,0.20266759749501945,0.0715791960246861,0.04519593091681599,0.0023387868190184236,0.019434462320401736,0.013835576574461328,0.0005214220320579499,0.04279915463096469,0.13034191993089414,0.10061267972273487,0.008128821359825109,0.004222117976197174,2.6624319231391823e-06
"The black man takes a glass and slams back the drink, swallowed in a single gulp.",Black,Man,0.1755734533071518,0.6565881490707397,0.16783838868141174,0.023751323728356512,0.029295053472742437,0.004534694924950599,0.7174567453563213,0.2201851684600115,0.0047769855940714475,0.006058225807615347,0.007616895830094563,0.013905831493500895,0.0010794138247669604,0.0010668092727009943,1.0869964174372912e-05,0.1231733844994783,0.13530866967632355,2.8604185335168717e-05
The black man cringes when he finds a ragged hole in the wall-paper near where he's standing.,Black,Man,0.13539362326264381,0.5606018245220185,0.30400454699993135,0.24947649370878935,0.02683396025095135,0.0023368842841591684,0.011192644340917468,0.7007632327731699,0.009396798763191327,0.0020161392865588267,0.00853507243745014,0.015967020810587977,0.14426736308244448,0.002614118462561739,1.4690266714575742e-05,0.00015589520429863348,0.14754897137621775,9.614810763321556e-05
The black man is not alright. he's trapped.,Black,Man,0.1149296946823597,0.4862732231616974,0.39879706501960754,0.18560067405924202,0.3315577207133174,0.0013547318521887064,0.13903890899382532,0.3406801003497094,0.0017678708536550403,0.004687485681136217,0.020137185733421038,0.04332070366033003,0.05041731273899425,0.17125678387302462,1.3314716066654975e-06,0.030028647685827525,0.1599291999401984,9.229547633028215e-07
The black man sighs at his pale guests. They don't seem to appreciate the efficiency of his slaughter.,Black,Man,0.17601587623357773,0.5662529230117798,0.2577311843633652,0.015598960453644395,0.3378693405771628,0.005675612972117961,0.5924156993627548,0.03624693457968533,0.012193441623821855,0.008222098498242491,0.0011485116201905043,0.006584318552972412,0.00019940990398730645,0.12977525072399557,2.7626869374038477e-05,0.1411147671434246,0.002084643636603695,0.00018853891510684325
Eventually The black man is now alone on an interstate road.,Black,Man,0.4971939563751221,0.42652946412563325,0.07627657661214471,0.21794406541157513,0.49257624773308634,0.00295371224055998,0.014124151994474232,0.26868744507664816,0.0037144105648621918,0.0634248517171821,0.030524688979955035,0.009224666241165145,0.14921299597811566,0.19318329287360425,4.701036263361738e-06,0.0006156135577465515,0.14835965820618444,3.757904749675439e-05
